,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA
0,203500,12,108,33,106,6,8,18,0.387,0.552,0.0,31.0
1,1628389,15,208,64,152,26,19,40,0.625,0.603,0.167,88.0
2,200746,17,308,42,115,11,30,30,0.825,0.521,0.346,57.0
3,1629638,16,103,36,36,5,2,20,0.714,0.321,0.344,14.0
4,1628960,5,37,8,10,2,0,7,0.833,0.314,0.263,12.0
5,1628386,16,174,14,151,10,21,20,0.597,0.657,0.0,67.0
7,202329,15,71,17,79,14,7,15,0.704,0.314,0.286,27.0
8,203937,15,110,41,70,11,12,14,0.571,0.517,0.25,28.0
9,201583,2,5,2,7,1,0,1,0.0,0.286,0.2,0.0
10,203507,16,479,102,222,25,22,73,0.592,0.564,0.292,179.0
11,1628961,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0
12,203648,3,4,1,2,0,0,1,0.0,0.5,0.0,0.0
13,1628384,14,165,21,74,13,14,14,0.643,0.551,0.5,14.0
14,1627853,17,86,33,32,10,1,8,0.737,0.415,0.439,19.0
15,2772,11,46,9,38,9,0,7,0.8,0.357,0.375,5.0
16,201571,15,143,66,30,7,0,17,0.871,0.395,0.318,31.0
17,1629028,1,18,0,11,1,4,0,0.0,0.643,0.0,0.0
18,1628407,13,110,18,35,10,2,18,0.708,0.347,0.265,24.0
19,1628963,1,14,0,10,1,1,1,0.5,0.375,0.0,4.0
20,1628366,11,122,63,45,14,2,26,0.6,0.387,0.343,10.0
21,1628964,13,54,6,57,3,15,15,0.333,0.354,0.261,6.0
22,200826,2,23,5,2,1,1,4,1.0,0.571,0.714,2.0
23,203084,15,237,29,73,15,3,21,0.806,0.5,0.39,62.0
24,1629628,16,242,57,90,22,7,43,0.494,0.413,0.347,83.0
25,203115,13,200,39,90,13,6,15,0.743,0.454,0.456,35.0
26,1628966,5,33,2,10,1,2,3,0.8,0.5,0.357,5.0
27,201587,6,18,26,31,2,3,11,0.0,0.4,0.429,0.0
28,203382,12,174,37,67,4,9,13,0.719,0.561,0.442,32.0
29,203145,17,135,33,71,14,13,27,0.724,0.343,0.338,29.0
30,1629647,15,73,9,56,5,5,14,0.583,0.45,0.375,12.0
31,203078,14,414,100,64,13,3,47,0.828,0.471,0.35,93.0
32,1627736,11,65,10,15,6,2,13,1.0,0.369,0.438,3.0
33,201158,17,88,27,25,5,0,9,0.625,0.29,0.308,16.0
34,1628395,7,27,6,31,0,3,12,0.636,0.556,0.0,11.0
35,1627761,16,127,51,67,26,7,28,0.429,0.551,0.368,28.0
36,1627733,1,0,1,0,0,1,1,0.0,0.0,0.0,0.0
37,202722,14,182,26,64,9,6,10,0.917,0.456,0.443,12.0
38,201976,15,116,43,100,23,9,22,0.579,0.386,0.262,19.0
39,203920,6,20,1,18,1,0,2,0.364,0.5,0.0,11.0
40,1629048,10,63,12,41,1,17,9,0.733,0.522,0.364,15.0
41,202687,15,106,10,51,6,10,8,0.542,0.625,0.0,48.0
42,202357,15,161,34,98,16,6,21,0.875,0.512,0.452,8.0
43,202339,16,281,84,85,13,5,39,0.778,0.471,0.31,63.0
44,203992,14,215,66,40,21,1,26,0.75,0.432,0.429,36.0
45,202711,15,311,32,63,11,4,40,0.875,0.464,0.447,56.0
47,1628413,2,2,0,0,1,0,1,0.0,1.0,0.0,2.0
48,1629648,3,4,0,0,0,0,2,0.0,0.4,0.0,0.0
49,1629067,9,38,12,27,7,1,6,0.667,0.484,0.333,9.0
50,1626164,16,396,98,59,8,5,68,0.95,0.518,0.429,80.0
51,1628449,13,80,5,61,5,13,6,0.737,0.469,0.3,19.0
52,1628968,3,2,0,1,0,1,0,0.0,0.25,0.0,0.0
53,1629065,17,139,41,37,17,1,16,0.889,0.471,0.425,9.0
54,202340,10,96,18,32,10,1,11,0.75,0.488,0.286,8.0
55,1628396,11,53,2,39,2,4,7,0.583,0.639,0.0,12.0
56,1629714,1,0,1,3,0,1,0,0.0,0.0,0.0,0.0
57,1629649,4,6,1,0,0,1,1,1.0,0.286,0.0,2.0
58,1628969,16,95,18,60,25,4,8,0.828,0.446,0.192,29.0
59,1628970,17,218,32,92,9,14,31,0.727,0.46,0.368,22.0
60,1629052,2,3,0,0,0,0,0,0.0,0.333,1.0,0.0
61,1629151,4,12,3,5,1,0,1,0.0,0.5,0.8,0.0
62,1627763,12,230,98,58,12,3,35,0.98,0.464,0.308,49.0
63,1628415,15,204,30,50,15,7,20,0.865,0.402,0.394,37.0
64,1628971,16,117,62,62,17,9,32,0.516,0.414,0.36,31.0
65,1627759,12,226,28,89,13,3,20,0.725,0.467,0.375,51.0
66,1629650,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0
